Graph_pitch
Time (Seconds),pitch (Degrees),pitch_dot (Degrees/Seconds)
178.000000,-0.764534,-0.011365
178.050003,-0.763634,0.018010
178.100006,-0.764272,-0.012772
178.150009,-0.764005,0.005349
178.199997,-0.764131,-0.002519
178.250000,-0.763569,0.011226
178.300003,-0.764302,-0.014644
178.350006,-0.763917,0.007699
178.400009,-0.764184,-0.005356
178.449997,-0.763707,0.009544
178.500000,-0.757244,0.129259
178.550003,-0.759879,-0.052702
178.600006,-0.761854,-0.039496
178.650009,-0.762922,-0.021362
178.699997,-0.763523,-0.012023
178.750000,-0.763636,-0.002245
178.800003,-0.764327,-0.013823
178.850006,-0.763845,0.009632
178.900009,-0.764267,-0.008445
178.949997,-0.763764,0.010069
179.000000,-0.763807,-0.000863
179.050003,-0.764029,-0.004439
179.100006,-0.764027,0.000042
179.150009,-0.764170,-0.002861
179.199997,-0.763880,0.005810
179.250000,-0.756646,0.144661
179.300003,-0.759394,-0.054962
179.350006,-0.761379,-0.039693
179.400009,-0.763055,-0.033519
179.449997,-0.763472,-0.008330
179.500000,-0.764002,-0.010601
179.550003,-0.763875,0.002526
179.600006,-0.763835,0.000811
179.650009,-0.763679,0.003121
179.699997,-0.764101,-0.008441
179.750000,-0.763840,0.005212
179.800003,-0.763310,0.010602
179.850006,-0.763545,-0.004707
179.900009,-0.764182,-0.012733
179.949997,-0.763900,0.005651
180.000000,-0.755966,0.158663
180.050003,-0.758105,-0.042772
180.100006,-0.760426,-0.046431
180.150009,-0.761986,-0.031185
180.199997,-0.763232,-0.024934
180.250000,-0.763631,-0.007976
180.300003,-0.764364,-0.014662
180.350006,-0.763764,0.012000
180.400009,-0.764068,-0.006082
180.449997,-0.763893,0.003499
180.500000,-0.763822,0.001427
180.550003,-0.764055,-0.004660
180.600006,-0.763618,0.008737
180.650009,-0.763748,-0.002602
180.699997,-0.764022,-0.005473
180.750000,-0.763758,0.005282
180.800003,-0.755921,0.156729
180.850006,-0.758026,-0.042093
180.900009,-0.760730,-0.054092
180.949997,-0.762322,-0.031852
181.000000,-0.763191,-0.017376
181.050003,-0.763137,0.001085
181.100006,-0.763763,-0.012527
181.150009,-0.763709,0.001095
181.199997,-0.763625,0.001685
181.250000,-0.763796,-0.003426
181.300003,-0.763943,-0.002940
181.350006,-0.763757,0.003708
181.400009,-0.764035,-0.005550
181.449997,-0.763832,0.004060
181.500000,-0.763909,-0.001529
181.550003,-0.763795,0.002273
181.600006,-0.756037,0.155155
181.650009,-0.758662,-0.052504
181.699997,-0.761323,-0.053230
181.750000,-0.762386,-0.021270
181.800003,-0.763571,-0.023687
181.850006,-0.763617,-0.000915
181.900009,-0.763803,-0.003726
181.949997,-0.763456,0.006950
182.000000,-0.763706,-0.005012
182.050003,-0.763689,0.000339
182.100006,-0.763707,-0.000347
182.150009,-0.763702,0.000101
182.199997,-0.763620,0.001635
182.250000,-0.763534,0.001727
182.300003,-0.763919,-0.007704
182.350006,-0.755658,0.165212
182.400009,-0.757895,-0.044738
182.449997,-0.760094,-0.043999
182.500000,-0.762211,-0.042343
182.550003,-0.762804,-0.011850
182.600006,-0.763761,-0.019141
182.650009,-0.763748,0.000250
182.699997,-0.763722,0.000528
182.750000,-0.763720,0.000039
182.800003,-0.763701,0.000386
182.850006,-0.763473,0.004559
182.900009,-0.763672,-0.003981
182.949997,-0.763497,0.003508
183.000000,-0.763603,-0.002132
183.050003,-0.763709,-0.002112
183.100006,-0.764120,-0.008225
183.150009,-0.756175,0.158891
183.199997,-0.759044,-0.057390
183.250000,-0.761202,-0.043159
183.300003,-0.762269,-0.021332
183.350006,-0.763595,-0.026522
183.400009,-0.763317,0.005548
183.449997,-0.763617,-0.005995
183.500000,-0.763424,0.003865
183.550003,-0.763841,-0.008353
183.600006,-0.763816,0.000506
183.650009,-0.763583,0.004662
183.699997,-0.763605,-0.000446
183.750000,-0.763675,-0.001385
183.800003,-0.763993,-0.006368
183.850006,-0.763308,0.013709
183.900009,-0.752126,0.223612
183.949997,-0.757164,-0.100783
184.000000,-0.760052,-0.057756
184.050003,-0.761372,-0.026403
184.100006,-0.762743,-0.027405
184.150009,-0.763282,-0.010780
184.199997,-0.763141,0.002817
184.250000,-0.763467,-0.006526
184.300003,-0.762233,0.024682
184.350006,-0.715584,0.932924
184.400009,-0.591660,2.478321
184.449997,-0.380390,4.226446
184.500000,-0.083953,5.928367
184.550003,0.277464,7.227907
184.600006,0.648197,7.414200
184.650009,0.972753,6.490723
184.699997,1.159492,3.735689
184.750000,1.205755,0.925203
184.800003,1.121984,-1.675313
184.850006,0.926188,-3.915671
184.900009,0.628502,-5.953372
184.949997,0.236902,-7.833899
185.000000,-0.244742,-9.632302
185.050003,-0.811897,-11.342400
185.100006,-1.369262,-11.146626
185.150009,-1.850264,-9.619448
185.199997,-2.238152,-7.759658
185.250000,-2.534054,-5.917669
185.300003,-2.734755,-4.013788
185.350006,-2.837794,-2.060642
185.400009,-2.826871,0.218446
185.449997,-2.734697,1.843933
185.500000,-2.541918,3.855340
185.550003,-2.248817,5.861664
185.600006,-1.870809,7.559697
185.650009,-1.454268,8.330319
185.699997,-1.076325,7.560693
185.750000,-0.819853,5.129130
185.800003,-0.696147,2.473969
185.850006,-0.669694,0.529029
185.900009,-0.693679,-0.479679
185.949997,-0.705880,-0.244064
186.000000,-0.699506,0.127465
186.050003,-0.694252,0.105077
186.100006,-0.695297,-0.020896
186.150009,-0.696985,-0.033759
186.199997,-0.689901,0.141700
186.250000,-0.691010,-0.022179
186.300003,-0.693367,-0.047124
186.350006,-0.695358,-0.039817
186.400009,-0.696551,-0.023867
186.449997,-0.696859,-0.006155
186.500000,-0.696992,-0.002662
186.550003,-0.696712,0.005595
186.600006,-0.696724,-0.000230
186.650009,-0.696966,-0.004839
186.699997,-0.697234,-0.005367
186.750000,-0.696756,0.009561
186.800003,-0.696775,-0.000375
186.850006,-0.697206,-0.008620
186.900009,-0.689373,0.156652
186.949997,-0.690722,-0.026999
187.000000,-0.693210,-0.049755
187.050003,-0.695282,-0.041443
187.100006,-0.696345,-0.021249
187.150009,-0.696849,-0.010080
187.199997,-0.696876,-0.000546
187.250000,-0.696787,0.001789
187.300003,-0.696725,0.001230
187.350006,-0.696957,-0.004632
187.400009,-0.696501,0.009120
187.449997,-0.696433,0.001358
187.500000,-0.697043,-0.012201
187.550003,-0.696741,0.006052
187.600006,-0.697035,-0.005880
187.650009,-0.689031,0.160058
187.699997,-0.691011,-0.039602
187.750000,-0.693923,-0.058235
187.800003,-0.695327,-0.028079
187.850006,-0.695950,-0.012471
187.900009,-0.696580,-0.012592
187.949997,-0.696679,-0.001977
188.000000,-0.696750,-0.001425
188.050003,-0.696630,0.002395
188.100006,-0.696645,-0.000298
188.150009,-0.696809,-0.003286
188.199997,-0.696790,0.000383
188.250000,-0.696515,0.005497
188.300003,-0.696696,-0.003604
188.350006,-0.689131,0.151292
188.400009,-0.690526,-0.027902
188.449997,-0.693123,-0.051960
188.500000,-0.694940,-0.036331
