Graph
Time (Seconds),q1 (Degrees),q1_dot (Degrees/Seconds)
178.000000,81.523170,-0.000546
178.050003,81.522827,-0.006830
178.100006,81.522720,-0.002186
178.150009,81.522804,0.001639
178.199997,81.522820,0.000273
178.250000,81.522964,0.003005
178.300003,81.523087,0.002459
178.350006,81.523018,-0.001366
178.400009,81.522774,-0.004918
178.449997,81.522720,-0.001093
178.500000,81.522964,0.004918
178.550003,81.523079,0.002186
178.600006,81.523148,0.001366
178.650009,81.522804,-0.006830
178.699997,81.522842,0.000820
178.750000,81.522514,-0.006557
178.800003,81.522820,0.006011
178.850006,81.522736,-0.001639
178.900009,81.522629,-0.002186
178.949997,81.522789,0.003278
179.000000,81.523270,0.009562
179.050003,81.523392,0.002459
179.100006,81.523216,-0.003552
179.150009,81.522957,-0.005191
179.199997,81.523132,0.003552
179.250000,81.523155,0.000546
179.300003,81.523155,0.000000
179.350006,81.523499,0.006830
179.400009,81.523224,-0.005464
179.449997,81.523018,-0.004098
179.500000,81.522583,-0.008743
179.550003,81.522736,0.003005
179.600006,81.522705,-0.000546
179.650009,81.522530,-0.003552
179.699997,81.522736,0.004098
179.750000,81.522926,0.003825
179.800003,81.522873,-0.001093
179.850006,81.522942,0.001366
179.900009,81.522842,-0.001912
179.949997,81.522804,-0.000820
180.000000,81.522789,-0.000273
180.050003,81.523239,0.009016
180.100006,81.523239,0.000000
180.150009,81.523117,-0.002459
180.199997,81.523033,-0.001639
180.250000,81.523033,0.000000
180.300003,81.522804,-0.004645
180.350006,81.522820,0.000273
180.400009,81.522926,0.002186
180.449997,81.522873,-0.001093
180.500000,81.522942,0.001366
180.550003,81.523018,0.001639
180.600006,81.522858,-0.003278
180.650009,81.522995,0.002732
180.699997,81.522964,-0.000546
180.750000,81.522896,-0.001366
180.800003,81.523132,0.004645
180.850006,81.523010,-0.002459
180.900009,81.523148,0.002732
180.949997,81.523064,-0.001639
181.000000,81.523155,0.001912
181.050003,81.522995,-0.003278
181.100006,81.522980,-0.000273
181.150009,81.523048,0.001366
181.199997,81.523254,0.004098
181.250000,81.523293,0.000820
181.300003,81.523224,-0.001366
181.350006,81.523102,-0.002459
181.400009,81.523033,-0.001366
181.449997,81.523186,0.003005
181.500000,81.523254,0.001366
181.550003,81.523293,0.000820
181.600006,81.523201,-0.001912
181.650009,81.523064,-0.002732
181.699997,81.522911,-0.003005
181.750000,81.523087,0.003552
181.800003,81.523132,0.000820
181.850006,81.522873,-0.005191
181.900009,81.522705,-0.003278
181.949997,81.522980,0.005464
182.000000,81.522957,-0.000546
182.050003,81.523186,0.004645
182.100006,81.523186,0.000000
182.150009,81.523102,-0.001639
182.199997,81.522827,-0.005464
182.250000,81.522758,-0.001366
182.300003,81.522911,0.003005
182.350006,81.523117,0.004098
182.400009,81.523445,0.006557
182.449997,81.523323,-0.002459
182.500000,81.523064,-0.005191
182.550003,81.523308,0.004918
182.600006,81.523308,0.000000
182.650009,81.523087,-0.004371
182.699997,81.522911,-0.003552
182.750000,81.523216,0.006011
182.800003,81.523087,-0.002459
182.850006,81.523117,0.000546
182.900009,81.523048,-0.001366
182.949997,81.522995,-0.001093
183.000000,81.522896,-0.001912
183.050003,81.522888,-0.000273
183.100006,81.522758,-0.002459
183.150009,81.522964,0.004098
183.199997,81.523117,0.003005
183.250000,81.523170,0.001093
183.300003,81.522873,-0.006011
183.350006,81.523201,0.006557
183.400009,81.523224,0.000546
183.449997,81.523430,0.004098
183.500000,81.523361,-0.001366
183.550003,81.523239,-0.002459
183.600006,81.523308,0.001366
183.650009,81.523064,-0.004918
183.699997,81.523308,0.004918
183.750000,81.523170,-0.002732
183.800003,81.522957,-0.004371
183.850006,81.522789,-0.003278
183.900009,81.522774,-0.000273
183.949997,81.523186,0.008196
184.000000,81.523064,-0.002459
184.050003,81.523033,-0.000546
184.100006,81.523155,0.002459
184.150009,81.523239,0.001639
184.199997,81.523048,-0.003825
184.250000,81.522980,-0.001366
184.300003,81.523270,0.005737
