Graph_q5
Time (Seconds),q5 (Degrees),q5_dot (Degrees/Seconds)
178.000000,90.000076,-0.000273
178.050003,90.000092,0.000273
178.100006,90.000107,0.000273
178.150009,90.000092,-0.000273
178.199997,90.000076,-0.000273
178.250000,90.000130,0.001093
178.300003,90.000092,-0.000820
178.350006,90.000076,-0.000273
178.400009,90.000076,0.000000
178.449997,90.000076,0.000000
178.500000,90.000092,0.000273
178.550003,90.000076,-0.000273
178.600006,90.000092,0.000273
178.650009,90.000092,0.000000
178.699997,90.000076,-0.000273
178.750000,90.000107,0.000546
178.800003,90.000092,-0.000273
178.850006,90.000076,-0.000273
178.900009,90.000076,0.000000
178.949997,90.000130,0.001093
179.000000,90.000107,-0.000546
179.050003,90.000092,-0.000273
179.100006,90.000122,0.000546
179.150009,90.000107,-0.000273
179.199997,90.000122,0.000273
179.250000,90.000092,-0.000546
179.300003,90.000076,-0.000273
179.350006,90.000092,0.000273
179.400009,90.000092,0.000000
179.449997,90.000092,0.000000
179.500000,90.000076,-0.000273
179.550003,90.000107,0.000546
179.600006,90.000107,0.000000
179.650009,90.000122,0.000273
179.699997,90.000076,-0.000820
179.750000,90.000092,0.000273
179.800003,90.000107,0.000273
179.850006,90.000076,-0.000546
179.900009,90.000092,0.000273
179.949997,90.000092,0.000000
180.000000,90.000076,-0.000273
180.050003,90.000069,-0.000273
180.100006,90.000092,0.000546
180.150009,90.000076,-0.000273
180.199997,90.000092,0.000273
180.250000,90.000069,-0.000546
180.300003,90.000107,0.000820
180.350006,90.000092,-0.000273
180.400009,90.000076,-0.000273
180.449997,90.000107,0.000546
180.500000,90.000122,0.000273
180.550003,90.000076,-0.000820
180.600006,90.000107,0.000546
180.650009,90.000076,-0.000546
180.699997,90.000122,0.000820
180.750000,90.000122,0.000000
180.800003,90.000069,-0.001093
180.850006,90.000076,0.000273
180.900009,90.000092,0.000273
180.949997,90.000122,0.000546
181.000000,90.000069,-0.001093
181.050003,90.000092,0.000546
181.100006,90.000076,-0.000273
181.150009,90.000107,0.000546
181.199997,90.000107,0.000000
181.250000,90.000092,-0.000273
181.300003,90.000076,-0.000273
181.350006,90.000092,0.000273
181.400009,90.000122,0.000546
181.449997,90.000122,0.000000
181.500000,90.000076,-0.000820
181.550003,90.000107,0.000546
181.600006,90.000076,-0.000546
181.650009,90.000069,-0.000273
181.699997,90.000076,0.000273
181.750000,90.000076,0.000000
181.800003,90.000076,0.000000
181.850006,90.000076,0.000000
181.900009,90.000069,-0.000273
181.949997,90.000107,0.000820
182.000000,90.000076,-0.000546
182.050003,90.000076,0.000000
182.100006,90.000092,0.000273
182.150009,90.000107,0.000273
182.199997,90.000107,0.000000
182.250000,90.000076,-0.000546
182.300003,90.000107,0.000546
182.350006,90.000107,0.000000
182.400009,90.000076,-0.000546
182.449997,90.000076,0.000000
182.500000,90.000107,0.000546
182.550003,90.000092,-0.000273
182.600006,90.000107,0.000273
182.650009,90.000107,0.000000
182.699997,90.000092,-0.000273
182.750000,90.000076,-0.000273
182.800003,90.000069,-0.000273
182.850006,90.000076,0.000273
182.900009,90.000076,0.000000
182.949997,90.000076,0.000000
183.000000,90.000076,0.000000
183.050003,90.000092,0.000273
183.100006,90.000122,0.000546
183.150009,90.000053,-0.001366
183.199997,90.000092,0.000820
183.250000,90.000076,-0.000273
183.300003,90.000069,-0.000273
183.350006,90.000092,0.000546
183.400009,90.000076,-0.000273
183.449997,90.000069,-0.000273
183.500000,90.000076,0.000273
183.550003,90.000076,0.000000
183.600006,90.000122,0.000820
183.650009,90.000122,0.000000
183.699997,90.000122,0.000000
183.750000,90.000076,-0.000820
183.800003,90.000069,-0.000273
183.850006,90.000076,0.000273
183.900009,90.000092,0.000273
183.949997,90.000130,0.000820
184.000000,90.000107,-0.000546
184.050003,90.000107,0.000000
184.100006,90.000092,-0.000273
184.150009,90.000107,0.000273
184.199997,90.000092,-0.000273
184.250000,90.000107,0.000273
184.300003,90.000175,0.001366
184.350006,90.000198,0.000546
184.400009,90.000175,-0.000546
184.449997,90.000191,0.000273
184.500000,90.000198,0.000273
184.550003,90.000175,-0.000546
184.600006,90.000198,0.000546
184.650009,90.000198,0.000000
184.699997,90.000191,-0.000273
184.750000,90.000160,-0.000546
184.800003,90.000160,0.000000
184.850006,90.000145,-0.000273
184.900009,90.000122,-0.000546
184.949997,90.000107,-0.000273
185.000000,90.000107,0.000000
185.050003,90.000076,-0.000546
185.100006,90.000130,0.001093
185.150009,90.000069,-0.001366
185.199997,90.000076,0.000273
185.250000,90.000038,-0.000820
185.300003,90.000038,0.000000
185.350006,90.000053,0.000273
185.400009,90.000023,-0.000546
185.449997,90.000053,0.000546
185.500000,90.000069,0.000273
185.550003,90.000053,-0.000273
185.600006,90.000023,-0.000546
185.650009,90.000053,0.000546
185.699997,90.000069,0.000273
185.750000,90.000053,-0.000273
185.800003,90.000023,-0.000546
185.850006,90.000038,0.000273
