Graph_roll
Time (Seconds),roll (Degrees),roll_dot (Degrees/Seconds)
178.000000,179.895798,-0.000273
178.050003,179.896118,0.006557
178.100006,179.896194,0.001639
178.150009,179.896194,-0.000273
178.199997,179.896118,-0.001366
178.250000,179.896286,0.003278
178.300003,179.896072,-0.004371
178.350006,179.895874,-0.003825
178.400009,179.895706,-0.003278
178.449997,179.895935,0.004646
178.500000,179.896164,0.004371
178.550003,179.896194,0.000546
178.600006,179.896194,0.000273
178.650009,179.896057,-0.003005
178.699997,179.896118,0.001366
178.750000,179.896225,0.002186
178.800003,179.896332,0.001912
178.850006,179.896072,-0.005191
178.900009,179.896133,0.001366
178.949997,179.896133,0.000000
179.000000,179.895981,-0.003005
179.050003,179.895676,-0.006010
179.100006,179.895554,-0.002459
179.150009,179.895630,0.001366
179.199997,179.895615,-0.000273
179.250000,179.895615,0.000000
179.300003,179.895676,0.001093
179.350006,179.895660,-0.000273
179.400009,179.895432,-0.004371
179.449997,179.895477,0.000820
179.500000,179.895554,0.001366
179.550003,179.895721,0.003551
179.600006,179.895889,0.003278
179.650009,179.895691,-0.003825
179.699997,179.895691,0.000000
179.750000,179.895630,-0.001366
179.800003,179.895584,-0.000820
179.850006,179.895691,0.002186
179.900009,179.895691,0.000000
179.949997,179.895813,0.002459
180.000000,179.895966,0.003005
180.050003,179.895828,-0.002732
180.100006,179.895630,-0.004098
180.150009,179.895554,-0.001366
180.199997,179.895584,0.000547
180.250000,179.895706,0.002459
180.300003,179.895782,0.001366
180.350006,179.896027,0.004917
180.400009,179.895935,-0.001639
180.449997,179.895752,-0.003826
180.500000,179.895920,0.003278
180.550003,179.895889,-0.000546
180.600006,179.895905,0.000273
180.650009,179.895950,0.001093
180.699997,179.895905,-0.001093
180.750000,179.896011,0.002186
180.800003,179.895828,-0.003551
180.850006,179.895920,0.001639
180.900009,179.896072,0.003005
180.949997,179.896011,-0.001093
181.000000,179.896057,0.000820
181.050003,179.895935,-0.002186
181.100006,179.895874,-0.001366
181.150009,179.895905,0.000546
181.199997,179.895859,-0.000820
181.250000,179.895798,-0.001366
181.300003,179.895691,-0.001912
181.350006,179.895798,0.001912
181.400009,179.895920,0.002459
181.449997,179.895844,-0.001366
181.500000,179.895782,-0.001366
181.550003,179.895645,-0.002732
181.600006,179.895828,0.003825
181.650009,179.895981,0.003005
181.699997,179.896118,0.002733
181.750000,179.896179,0.001093
181.800003,179.896103,-0.001366
181.850006,179.896103,0.000000
181.900009,179.896179,0.001366
181.949997,179.896088,-0.001640
182.000000,179.895996,-0.001912
182.050003,179.895813,-0.003551
182.100006,179.895798,-0.000546
182.150009,179.895844,0.001093
182.199997,179.896057,0.004099
182.250000,179.896088,0.000820
182.300003,179.895950,-0.002732
182.350006,179.895676,-0.005737
182.400009,179.895813,0.002732
182.449997,179.895844,0.000820
182.500000,179.895889,0.000820
182.550003,179.895935,0.000820
182.600006,179.895874,-0.001093
182.650009,179.895721,-0.003005
182.699997,179.895721,0.000000
182.750000,179.895767,0.000820
182.800003,179.895737,-0.000546
182.850006,179.895691,-0.000820
182.900009,179.895615,-0.001639
182.949997,179.895676,0.001093
183.000000,179.895813,0.003005
183.050003,179.895813,0.000000
183.100006,179.895706,-0.002186
183.150009,179.895645,-0.001366
