Graph_x
Time (Seconds),x (Meters),x_dot (Meters/Seconds)
178.000000,0.804501,-0.000014
178.050003,0.804505,0.000083
178.100006,0.804503,-0.000031
178.150009,0.804508,0.000099
178.199997,0.804510,0.000039
178.250000,0.804516,0.000126
178.300003,0.804514,-0.000054
178.350006,0.804517,0.000056
178.400009,0.804517,0.000013
178.449997,0.804519,0.000033
178.500000,0.804537,0.000361
178.550003,0.804532,-0.000103
178.600006,0.804527,-0.000099
178.650009,0.804523,-0.000079
178.699997,0.804523,-0.0000060
178.750000,0.804523,0.0000012
178.800003,0.804520,-0.000049
178.850006,0.804524,0.000077
178.900009,0.804524,0.0000060
178.949997,0.804527,0.000044
179.000000,0.804531,0.000089
179.050003,0.804531,-0.0000072
179.100006,0.804531,0.000000
179.150009,0.804531,0.000012
179.199997,0.804533,0.000041
179.250000,0.804554,0.000421
179.300003,0.804547,-0.000150
179.350006,0.804543,-0.000080
179.400009,0.804540,-0.000055
179.449997,0.804543,0.000052
179.500000,0.804541,-0.000039
179.550003,0.804545,0.000081
179.600006,0.804545,0.0000095
179.650009,0.804548,0.000048
179.699997,0.804547,-0.0000072
179.750000,0.804550,0.000052
179.800003,0.804554,0.000080
179.850006,0.804555,0.000027
179.900009,0.804551,-0.000080
179.949997,0.804552,0.000019
180.000000,0.804577,0.000495
180.050003,0.804571,-0.000116
180.100006,0.804568,-0.000075
180.150009,0.804563,-0.000101
180.199997,0.804558,-0.000083
180.250000,0.804560,0.000039
180.300003,0.804558,-0.000049
180.350006,0.804561,0.000072
180.400009,0.804561,-0.0000024
180.449997,0.804564,0.000058
180.500000,0.804567,0.000055
180.550003,0.804569,0.000033
180.600006,0.804571,0.000056
180.650009,0.804572,0.0000095
180.699997,0.804570,-0.000031
180.750000,0.804573,0.000062
180.800003,0.804597,0.000479
180.850006,0.804593,-0.000082
180.900009,0.804588,-0.000116
180.949997,0.804585,-0.000055
181.000000,0.804583,-0.000043
181.050003,0.804584,0.000035
181.100006,0.804585,0.0000024
181.150009,0.804585,0.000000
181.199997,0.804587,0.000043
181.250000,0.804588,0.000027
181.300003,0.804589,0.000023
181.350006,0.804591,0.000046
181.400009,0.804591,-0.0000095
181.449997,0.804593,0.000041
181.500000,0.804595,0.000044
181.550003,0.804599,0.000070
181.600006,0.804623,0.000482
181.650009,0.804618,-0.000103
181.699997,0.804611,-0.000125
181.750000,0.804612,0.000019
181.800003,0.804611,-0.000021
181.850006,0.804614,0.000048
181.900009,0.804615,0.000027
181.949997,0.804619,0.000070
182.000000,0.804619,0.000014
182.050003,0.804620,0.000021
182.100006,0.804621,0.0000048
182.150009,0.804623,0.000048
182.199997,0.804627,0.000079
182.250000,0.804629,0.000046
182.300003,0.804631,0.000033
182.350006,0.804659,0.000563
182.400009,0.804654,-0.000104
182.449997,0.804651,-0.000057
182.500000,0.804646,-0.000103
182.550003,0.804649,0.000060
