Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
178.000000,-0.264349,-0.0000012
178.050003,-0.264356,-0.000138
178.100006,-0.264358,-0.000029
178.150009,-0.264357,0.000011
178.199997,-0.264356,0.000026
178.250000,-0.264358,-0.000042
178.300003,-0.264353,0.000090
178.350006,-0.264350,0.000071
178.400009,-0.264349,0.000017
178.449997,-0.264353,-0.000083
178.500000,-0.264354,-0.000014
178.550003,-0.264354,-0.0000030
178.600006,-0.264354,0.0000042
178.650009,-0.264351,0.000054
178.699997,-0.264354,-0.000063
178.750000,-0.264356,-0.000039
178.800003,-0.264357,-0.000018
178.850006,-0.264354,0.000063
178.900009,-0.264356,-0.000048
178.949997,-0.264358,-0.000029
179.000000,-0.264355,0.000058
179.050003,-0.264350,0.000098
179.100006,-0.264348,0.000047
179.150009,-0.264348,-0.000017
179.199997,-0.264351,-0.000051
179.250000,-0.264347,0.000072
179.300003,-0.264346,0.000026
179.350006,-0.264346,-0.0000072
179.400009,-0.264343,0.000075
179.449997,-0.264343,-0.0000048
179.500000,-0.264345,-0.000046
179.550003,-0.264350,-0.000100
179.600006,-0.264352,-0.000037
179.650009,-0.264348,0.000088
179.699997,-0.264347,0.000021
179.750000,-0.264346,0.000020
179.800003,-0.264344,0.000041
179.850006,-0.264345,-0.000035
179.900009,-0.264345,0.0000012
179.949997,-0.264348,-0.000051
180.000000,-0.264346,0.000033
180.050003,-0.264343,0.000066
180.100006,-0.264340,0.000059
180.150009,-0.264340,0.0000089
180.199997,-0.264341,-0.000034
180.250000,-0.264345,-0.000084
180.300003,-0.264350,-0.000083
180.350006,-0.264357,-0.000139
180.400009,-0.264354,0.000057
180.449997,-0.264350,0.000076
180.500000,-0.264350,-0.0000060
180.550003,-0.264349,0.000017
180.600006,-0.264351,-0.000024
180.650009,-0.264352,-0.000027
180.699997,-0.264351,0.000013
180.750000,-0.264351,0.000016
180.800003,-0.264347,0.000066
180.850006,-0.264348,-0.000017
180.900009,-0.264349,-0.000021
180.949997,-0.264349,-0.0000048
181.000000,-0.264350,-0.000011
181.050003,-0.264348,0.000033
181.100006,-0.264348,0.0000036
181.150009,-0.264348,0.0000066
181.199997,-0.264345,0.000046
181.250000,-0.264343,0.000046
181.300003,-0.264342,0.000013
181.350006,-0.264343,-0.000014
181.400009,-0.264346,-0.000055
181.449997,-0.264345,0.000015
181.500000,-0.264342,0.000058
181.550003,-0.264339,0.000061
181.600006,-0.264341,-0.000027
181.650009,-0.264344,-0.000063
181.699997,-0.264346,-0.000039
181.750000,-0.264348,-0.000038
181.800003,-0.264345,0.000059
181.850006,-0.264344,0.0000072
181.900009,-0.264344,-0.0000036
181.949997,-0.264344,0.000018
182.000000,-0.264341,0.000045
182.050003,-0.264339,0.000049
182.100006,-0.264337,0.000036
182.150009,-0.264338,-0.000020
182.199997,-0.264340,-0.000042
182.250000,-0.264343,-0.000049
182.300003,-0.264341,0.000035
182.350006,-0.264336,0.000102
182.400009,-0.264337,-0.000027
182.449997,-0.264337,0.0000077
182.500000,-0.264339,-0.000040
182.550003,-0.264339,-0.000013
182.600006,-0.264337,0.000051
182.650009,-0.264335,0.000034
182.699997,-0.264335,0.0000066
182.750000,-0.264335,-0.000013
182.800003,-0.264336,-0.000017
182.850006,-0.264335,0.000034
182.900009,-0.264331,0.000069
182.949997,-0.264333,-0.000042
183.000000,-0.264336,-0.000057
183.050003,-0.264337,-0.000013
183.100006,-0.264335,0.000032
183.150009,-0.264335,0.0000012
183.199997,-0.264334,0.000030
183.250000,-0.264330,0.000063
183.300003,-0.264333,-0.000052
183.350006,-0.264334,-0.000014
183.400009,-0.264330,0.000083
183.449997,-0.264327,0.000054
183.500000,-0.264326,0.000018
183.550003,-0.264328,-0.000038
183.600006,-0.264328,-0.0000036
183.650009,-0.264330,-0.000032
183.699997,-0.264327,0.000047
183.750000,-0.264326,0.000029
183.800003,-0.264327,-0.000021
183.850006,-0.264329,-0.000052
183.900009,-0.264329,0.0000048
183.949997,-0.264329,0.000013
184.000000,-0.264326,0.000042
184.050003,-0.264325,0.000035
184.100006,-0.264324,0.0000066
184.150009,-0.264326,-0.000027
184.199997,-0.264324,0.000029
184.250000,-0.264327,-0.000051
184.300003,-0.264324,0.000057
184.350006,-0.264333,-0.000176
184.400009,-0.264362,-0.000582
184.449997,-0.264412,-0.001004
184.500000,-0.264462,-0.001000
184.550003,-0.264486,-0.000485
184.600006,-0.264459,0.000555
184.650009,-0.264325,0.002666
184.699997,-0.264109,0.004330
184.750000,-0.263761,0.006964
184.800003,-0.263311,0.008994
184.850006,-0.262796,0.010309
184.900009,-0.262228,0.011353
184.949997,-0.261591,0.012737
185.000000,-0.260861,0.014602
185.050003,-0.260036,0.016499
185.100006,-0.259169,0.017348
185.150009,-0.258294,0.017487
185.199997,-0.257444,0.017011
185.250000,-0.256642,0.016025
185.300003,-0.255889,0.015066
