Graph_yaw
Time (Seconds),yaw (Degrees),yaw_dot (Degrees/Seconds)
178.000000,-179.571884,0.013113
178.050003,-179.572449,-0.011474
178.100006,-179.572220,0.004644
178.150009,-179.572510,-0.005737
178.199997,-179.572052,0.009018
178.250000,-179.572006,0.000820
178.300003,-179.572311,-0.006010
178.350006,-179.572205,0.002186
178.400009,-179.572250,-0.000820
178.449997,-179.572327,-0.001640
178.500000,-179.572586,-0.005191
178.550003,-179.572327,0.005191
178.600006,-179.572403,-0.001366
178.650009,-179.572311,0.001639
178.699997,-179.572403,-0.001913
178.750000,-179.572281,0.002732
178.800003,-179.572281,-0.000273
178.850006,-179.572159,0.002459
178.900009,-179.572205,-0.000820
178.949997,-179.572311,-0.002186
179.000000,-179.572281,0.000820
179.050003,-179.572296,-0.000546
179.100006,-179.572388,-0.001639
179.150009,-179.572220,0.003278
179.199997,-179.572433,-0.004372
179.250000,-179.572281,0.003278
179.300003,-179.572067,0.004098
179.350006,-179.572418,-0.007103
179.400009,-179.572235,0.003825
179.449997,-179.572250,-0.000273
179.500000,-179.572357,-0.002186
179.550003,-179.572372,-0.000273
179.600006,-179.572342,0.000546
179.650009,-179.572495,-0.003005
179.699997,-179.572174,0.006285
179.750000,-179.572510,-0.006557
179.800003,-179.572113,0.007923
179.850006,-179.572342,-0.004644
179.900009,-179.572189,0.003005
179.949997,-179.572357,-0.003279
180.000000,-179.572403,-0.001093
180.050003,-179.572449,-0.000820
180.100006,-179.572327,0.002459
180.150009,-179.572449,-0.002459
180.199997,-179.572342,0.002186
180.250000,-179.572433,-0.001912
180.300003,-179.572357,0.001639
180.350006,-179.572403,-0.001093
180.400009,-179.572617,-0.004098
180.449997,-179.572296,0.006285
180.500000,-179.572327,-0.000546
180.550003,-179.572174,0.003005
180.600006,-179.572464,-0.005737
180.650009,-179.572342,0.002459
180.699997,-179.572464,-0.002459
180.750000,-179.572540,-0.001366
180.800003,-179.572418,0.002186
180.850006,-179.572433,-0.000273
180.900009,-179.572235,0.004098
180.949997,-179.572449,-0.004372
181.000000,-179.572266,0.003825
181.050003,-179.572327,-0.001366
181.100006,-179.572357,-0.000546
181.150009,-179.572296,0.001093
181.199997,-179.572372,-0.001366
181.250000,-179.572342,0.000546
181.300003,-179.572372,-0.000546
181.350006,-179.572388,-0.000273
181.400009,-179.572403,-0.000546
181.449997,-179.572357,0.001093
181.500000,-179.572525,-0.003278
181.550003,-179.572449,0.001366
181.600006,-179.572372,0.001639
181.650009,-179.572540,-0.003551
181.699997,-179.572327,0.004372
181.750000,-179.572418,-0.001912
181.800003,-179.572235,0.003825
181.850006,-179.572311,-0.001639
181.900009,-179.572449,-0.002732
181.949997,-179.572403,0.000820
182.000000,-179.572418,-0.000273
182.050003,-179.572495,-0.001366
182.100006,-179.572281,0.004098
182.150009,-179.572495,-0.004098
182.199997,-179.572372,0.002459
182.250000,-179.572281,0.001639
182.300003,-179.572525,-0.004644
182.350006,-179.572189,0.006557
182.400009,-179.572388,-0.003825
182.449997,-179.572220,0.003279
182.500000,-179.572495,-0.005464
182.550003,-179.572510,-0.000273
182.600006,-179.572327,0.003551
182.650009,-179.572372,-0.000820
182.699997,-179.572433,-0.001366
182.750000,-179.572510,-0.001366
182.800003,-179.572479,0.000546
182.850006,-179.572525,-0.000820
182.900009,-179.572311,0.004098
182.949997,-179.572281,0.000820
183.000000,-179.572235,0.000820
183.050003,-179.572449,-0.004371
183.100006,-179.572403,0.001093
183.150009,-179.572464,-0.001366
183.199997,-179.572403,0.001093
183.250000,-179.572586,-0.003551
183.300003,-179.572479,0.002186
183.350006,-179.572403,0.001366
183.400009,-179.572540,-0.002459
183.449997,-179.572449,0.001640
183.500000,-179.572174,0.005464
183.550003,-179.572418,-0.004917
183.600006,-179.572433,-0.000273
183.650009,-179.572403,0.000820
183.699997,-179.572540,-0.003006
183.750000,-179.572357,0.003825
183.800003,-179.572067,0.005737
183.850006,-179.572571,-0.010108
183.900009,-179.572449,0.002459
183.949997,-179.572418,0.000547
184.000000,-179.572342,0.001639
184.050003,-179.572449,-0.002186
184.100006,-179.572433,0.000273
184.150009,-179.572510,-0.001366
184.199997,-179.572021,0.009565
184.250000,-179.572403,-0.007649
184.300003,-179.573639,-0.024587
184.350006,-179.583389,-0.195058
184.400009,-179.601257,-0.357334
184.449997,-179.630997,-0.594918
184.500000,-179.672256,-0.825036
184.550003,-179.723526,-1.025285
184.600006,-179.775177,-1.033208
184.650009,-179.817139,-0.838969
184.699997,-179.844345,-0.544362
184.750000,-179.853348,-0.180033
184.800003,-179.844345,0.180033
184.850006,-179.818207,0.522887
184.900009,-179.776794,0.828042
184.949997,-179.721542,1.105394
185.000000,-179.652496,1.380707
185.050003,-179.569992,1.650073
185.100006,-179.488144,1.636960
185.150009,-179.416168,1.439443
185.199997,-179.356812,1.187377
185.250000,-179.311157,0.913004
185.300003,-179.279388,0.635169
185.350006,-179.262283,0.342308
185.400009,-179.259460,0.056277
185.449997,-179.271683,-0.244307
185.500000,-179.298630,-0.539006
185.550003,-179.339844,-0.824217
185.600006,-179.393646,-1.076099
185.650009,-179.452347,-1.173901
185.699997,-179.505005,-1.053472
185.750000,-179.541718,-0.734064
185.800003,-179.563736,-0.440384
185.850006,-179.572311,-0.171564
185.900009,-179.574326,-0.040159
185.949997,-179.576447,-0.042358
186.000000,-179.576706,-0.005191
186.050003,-179.576920,-0.004371
186.100006,-179.577194,-0.005464
186.150009,-179.576889,0.006010
186.199997,-179.576950,-0.001093
186.250000,-179.577240,-0.006010
186.300003,-179.576965,0.005737
186.350006,-179.577332,-0.007376
186.400009,-179.577286,0.000820
186.449997,-179.577240,0.000820
186.500000,-179.577042,0.004098
186.550003,-179.577011,0.000546
186.600006,-179.577026,-0.000273
186.650009,-179.577072,-0.000820
186.699997,-179.577332,-0.005192
186.750000,-179.577057,0.005464
186.800003,-179.577011,0.000820
186.850006,-179.577087,-0.001366
186.900009,-179.577087,0.000000
186.949997,-179.576813,0.005465
187.000000,-179.576981,-0.003551
187.050003,-179.577072,-0.001639
187.100006,-179.577011,0.001093
187.150009,-179.576935,0.001639
187.199997,-179.576828,0.002186
187.250000,-179.576965,-0.002732
187.300003,-179.576935,0.000546
187.350006,-179.577026,-0.001912
187.400009,-179.577133,-0.002186
187.449997,-179.577042,0.001913
187.500000,-179.576965,0.001366
187.550003,-179.576920,0.001093
187.600006,-179.577133,-0.004371
187.650009,-179.576904,0.004644
187.699997,-179.576950,-0.000820
187.750000,-179.576965,-0.000273
187.800003,-179.576950,0.000273
187.850006,-179.576935,0.000273
187.900009,-179.576828,0.002186
187.949997,-179.576996,-0.003553
188.000000,-179.577042,-0.000820
188.050003,-179.576782,0.005191
188.100006,-179.576950,-0.003278
188.150009,-179.576920,0.000546
188.199997,-179.576920,0.000000
188.250000,-179.576920,0.000000
188.300003,-179.577103,-0.003825
188.350006,-179.577026,0.001639
188.400009,-179.576782,0.004917
188.449997,-179.577011,-0.004646
188.500000,-179.577057,-0.000820
188.550003,-179.576675,0.007649
188.600006,-179.577072,-0.007923
188.650009,-179.576935,0.002732
188.699997,-179.576920,0.000273
188.750000,-179.576965,-0.001093
188.800003,-179.576935,0.000820
188.850006,-179.576996,-0.001366
188.900009,-179.576965,0.000820
188.949997,-179.577087,-0.002459
189.000000,-179.576981,0.001912
189.050003,-179.576950,0.000820
189.100006,-179.576981,-0.000820
189.150009,-179.576691,0.006010
189.199997,-179.576797,-0.002186
189.250000,-179.577164,-0.007376
189.300003,-179.577118,0.000820
189.350006,-179.576950,0.003551
189.400009,-179.576950,0.000000
189.449997,-179.576691,0.005192
189.500000,-179.577133,-0.009015
189.550003,-179.576981,0.003005
189.600006,-179.577057,-0.001366
189.650009,-179.577042,0.000273
189.699997,-179.577057,-0.000273
189.750000,-179.577087,-0.000546
189.800003,-179.576813,0.005464
189.850006,-179.576950,-0.002732
189.900009,-179.576675,0.005464
189.949997,-179.577103,-0.008472
190.000000,-179.576797,0.006010
190.050003,-179.576889,-0.001912
190.100006,-179.576843,0.001093
190.150009,-179.576935,-0.001912
190.199997,-179.576706,0.004646
190.250000,-179.576630,0.001366
190.300003,-179.576843,-0.004098
190.350006,-179.576843,0.000000
190.400009,-179.576874,-0.000820
190.449997,-179.576965,-0.001640
190.500000,-179.577026,-0.001366
190.550003,-179.576920,0.002186
190.600006,-179.577042,-0.002459
190.650009,-179.576965,0.001366
190.699997,-179.576904,0.001366
190.750000,-179.577042,-0.002732
190.800003,-179.577026,0.000273
190.850006,-179.576797,0.004644
190.900009,-179.576645,0.003005
190.949997,-179.576843,-0.004099
191.000000,-179.576981,-0.002732
191.050003,-179.576920,0.001366
191.100006,-179.577042,-0.002459
191.150009,-179.576965,0.001639
191.199997,-179.576797,0.003279
191.250000,-179.577026,-0.004644
191.300003,-179.576797,0.004644
