Graph_z
Time (Seconds),z (Meters),z_dot (Meters/Seconds)
178.000000,0.857233,0.000116
178.050003,0.857235,0.000039
178.100006,0.857232,-0.000062
178.150009,0.857230,-0.000043
178.199997,0.857228,-0.000038
178.250000,0.857227,-0.000019
178.300003,0.857227,-0.0000048
178.350006,0.857233,0.000119
178.400009,0.857230,-0.000052
178.449997,0.857230,-0.0000048
178.500000,0.857229,-0.000024
178.550003,0.857230,0.000025
178.600006,0.857229,-0.000012
178.650009,0.857231,0.000030
178.699997,0.857230,-0.000017
178.750000,0.857229,-0.000026
178.800003,0.857229,0.000000
178.850006,0.857228,-0.000012
178.900009,0.857229,0.000012
178.949997,0.857231,0.000045
179.000000,0.857227,-0.000088
179.050003,0.857228,0.000026
179.100006,0.857228,0.000000
179.150009,0.857231,0.000055
179.199997,0.857230,-0.0000024
179.250000,0.857229,-0.000033
179.300003,0.857228,-0.000011
179.350006,0.857230,0.000026
179.400009,0.857227,-0.000058
179.449997,0.857227,0.0000095
179.500000,0.857229,0.000038
179.550003,0.857232,0.000067
179.600006,0.857230,-0.000052
179.650009,0.857230,0.000012
179.699997,0.857227,-0.000067
179.750000,0.857232,0.000103
179.800003,0.857228,-0.000079
179.850006,0.857229,0.0000072
179.900009,0.857229,0.0000048
179.949997,0.857231,0.000050
180.000000,0.857227,-0.000085
180.050003,0.857228,0.000019
180.100006,0.857229,0.000023
180.150009,0.857230,0.000015
180.199997,0.857233,0.000070
180.250000,0.857229,-0.000083
180.300003,0.857229,-0.000014
180.350006,0.857229,0.000012
180.400009,0.857230,0.000012
180.449997,0.857231,0.000026
180.500000,0.857230,-0.000014
180.550003,0.857230,-0.000017
180.600006,0.857230,0.0000024
180.650009,0.857231,0.000019
180.699997,0.857228,-0.000050
180.750000,0.857231,0.000052
180.800003,0.857231,-0.0000036
180.850006,0.857228,-0.000061
180.900009,0.857226,-0.000031
180.949997,0.857228,0.000046
181.000000,0.857228,-0.0000060
181.050003,0.857229,0.000025
181.100006,0.857229,-0.0000060
181.150009,0.857231,0.000050
181.199997,0.857230,-0.000026
181.250000,0.857229,-0.000014
181.300003,0.857228,-0.000019
181.350006,0.857228,-0.000019
181.400009,0.857228,0.000000
181.449997,0.857230,0.000057
181.500000,0.857230,-0.000017
181.550003,0.857230,0.0000095
181.600006,0.857230,0.0000012
181.650009,0.857231,0.000026
181.699997,0.857235,0.000074
181.750000,0.857234,-0.000017
181.800003,0.857228,-0.000128
181.850006,0.857227,-0.000021
181.900009,0.857228,0.000033
181.949997,0.857230,0.000031
182.000000,0.857226,-0.000074
182.050003,0.857228,0.000026
182.100006,0.857230,0.000048
182.150009,0.857228,-0.000033
182.199997,0.857227,-0.000029
182.250000,0.857226,-0.000026
182.300003,0.857228,0.000048
182.350006,0.857226,-0.000035
182.400009,0.857227,0.000018
182.449997,0.857230,0.000062
182.500000,0.857229,-0.000023
182.550003,0.857229,-0.000011
182.600006,0.857226,-0.000048
182.650009,0.857228,0.000038
182.699997,0.857229,0.000012
182.750000,0.857229,0.000012
182.800003,0.857230,0.000012
182.850006,0.857231,0.000017
182.900009,0.857228,-0.000045
182.949997,0.857228,0.000000
183.000000,0.857230,0.000026
183.050003,0.857229,-0.000024
183.100006,0.857229,0.000014
183.150009,0.857231,0.000025
183.199997,0.857230,-0.0000072
183.250000,0.857233,0.000052
183.300003,0.857226,-0.000141
183.350006,0.857228,0.000054
183.400009,0.857230,0.000038
183.449997,0.857228,-0.000038
183.500000,0.857228,-0.000019
